voltage(V),current(mA),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
4.039,-3382.5,13,42,700,4410,Li-ion
4.036,-3381.25,13,41.9,710,4410,Li-ion
4.087,-3975.312,14,41.8,744,4410,Li-ion
4.087,-3987.5,14,41.8,744,4410,Li-ion
4.088,-3989.375,14,42,754,4410,Li-ion
4.045,-3389.375,14,42,764,4410,Li-ion
4.045,-3372.812,15,41.5,776,4410,Li-ion
4.045,-3776.562,15,41.5,778,4410,Li-ion
4.045,-3978.437,15,41.5,780,4410,Li-ion
4.092,-3991.875,15,41.5,798,4410,Li-ion
4.099,-3986.875,16,42.2,828,4410,Li-ion
4.099,-3365.625,16,42.2,828,4410,Li-ion
4.099,-3393.75,16,42.2,830,4410,Li-ion
4.056,-3375.625,16,42.1,840,4410,Li-ion
4.056,-3383.75,17,41.3,870,4410,Li-ion
4.056,-3989.062,17,41.3,870,4410,Li-ion
4.056,-3977.187,17,41.3,880,4410,Li-ion
4.102,-3983.75,17,41.5,884,4410,Li-ion
4.102,-3982.5,17,41.5,886,4410,Li-ion
4.105,-3972.5,17,41.5,886,4410,Li-ion
4.105,-3953.125,17,41.5,894,4410,Li-ion
4.112,-3979.687,18,42.4,922,4410,Li-ion
4.112,-3373.437,18,42.4,922,4410,Li-ion
4.112,-3386.875,18,42.4,924,4410,Li-ion
4.07,-3390.937,18,42.6,928,4410,Li-ion
4.07,-3379.687,18,42.6,934,4410,Li-ion
4.07,-3389.687,18,42.6,936,4410,Li-ion
4.07,-3364.375,18,42.6,936,4410,Li-ion
4.07,-3386.25,18,41.7,948,4410,Li-ion
4.118,-3988.125,19,42,972,4410,Li-ion
4.077,-3386.875,19,42,972,4410,Li-ion
4.11,-3939.687,20,41.8,1000,4410,Li-ion
4.11,-3981.562,20,41.8,1000,4410,Li-ion
4.118,-3986.562,20,41.6,1010,4410,Li-ion
4.122,-3978.75,20,41.9,1016,4410,Li-ion
4.122,-3967.187,20,41.9,1026,4410,Li-ion
4.083,-3364.375,21,41.8,1054,4410,Li-ion
4.123,-3977.5,21,41.6,1058,4410,Li-ion
4.123,-3983.125,21,41.6,1060,4410,Li-ion
4.123,-3979.375,21,41.6,1068,4410,Li-ion
4.129,-3985,21,42,1072,4410,Li-ion
4.129,-3383.75,21,42,1074,4410,Li-ion
4.088,-3367.187,22,42,1100,4410,Li-ion
4.088,-3374.062,22,42,1100,4410,Li-ion
4.087,-3367.5,22,41.9,1102,4410,Li-ion
4.087,-3827.5,22,41.9,1120,4410,Li-ion
4.093,-3399.687,23,42.2,1130,4410,Li-ion
4.093,-3374.062,23,42.2,1132,4410,Li-ion
4.093,-3380.625,23,42.2,1132,4410,Li-ion
4.093,-3381.875,23,42.2,1144,4410,Li-ion
4.093,-3979.062,23,42.2,1146,4410,Li-ion
4.132,-3994.375,23,41.5,1146,4410,Li-ion
4.134,-3805.937,24,42.4,1178,4410,Li-ion
4.101,-3378.75,24,42.5,1190,4410,Li-ion
4.101,-3381.25,24,42.5,1190,4410,Li-ion
4.101,-3381.562,24,42.5,1192,4410,Li-ion
4.099,-3393.437,24,42.3,1192,4410,Li-ion
4.099,-3374.062,24,42.3,1200,4410,Li-ion
4.099,-3377.812,24,42.3,1200,4410,Li-ion
4.125,-3820.625,25,41.7,1220,4410,Li-ion
4.125,-3989.375,25,41.7,1222,4410,Li-ion
4.145,-3990,25,41.6,1232,4410,Li-ion
4.145,-3981.875,25,41.6,1246,4410,Li-ion
4.107,-3380.312,25,42.6,1252,4410,Li-ion
4.105,-3382.5,26,42,1276,4410,Li-ion
4.107,-3384.687,27,41.9,1300,4410,Li-ion
4.107,-3980.937,27,41.9,1302,4410,Li-ion
4.107,-3919.375,27,41.9,1308,4410,Li-ion
4.107,-3981.875,27,41.9,1308,4410,Li-ion
4.149,-3975.937,27,41.8,1310,4410,Li-ion
4.149,-3988.125,27,41.8,1314,4410,Li-ion
4.155,-3982.5,27,42.1,1320,4410,Li-ion
4.155,-3375,27,42.1,1322,4410,Li-ion
4.155,-3389.687,27,42.1,1328,4410,Li-ion
4.155,-3378.75,27,42.1,1334,4410,Li-ion
4.155,-3375.937,27,42.1,1338,4410,Li-ion
4.111,-3378.75,28,42.2,1344,4410,Li-ion
4.111,-3390.937,28,42.2,1346,4410,Li-ion
4.111,-3373.437,28,42.2,1348,4410,Li-ion
4.111,-3378.75,28,42.2,1348,4410,Li-ion
4.111,-3378.75,28,42.2,1350,4410,Li-ion
4.111,-3381.875,28,42.2,1356,4410,Li-ion
4.111,-3392.812,28,42.1,1362,4410,Li-ion
4.111,-3367.812,28,42,1368,4410,Li-ion
4.113,-3384.062,29,42.1,1396,4410,Li-ion
4.113,-3387.187,29,42.1,1396,4410,Li-ion
4.113,-3399.062,29,42.1,1398,4410,Li-ion
4.113,-3381.562,29,42.1,1398,4410,Li-ion
4.116,-3377.812,29,42.1,1424,4410,Li-ion
4.12,-3372.5,30,42.2,1450,4410,Li-ion
4.12,-3401.562,30,42.2,1450,4410,Li-ion
4.12,-3381.25,30,42.2,1454,4410,Li-ion
4.12,-3376.25,31,42.2,1480,4410,Li-ion
4.12,-3382.187,31,42.2,1482,4410,Li-ion
4.12,-3376.25,31,42.2,1482,4410,Li-ion
4.122,-3381.875,31,42.3,1494,4410,Li-ion
4.121,-3389.062,31,42.3,1510,4410,Li-ion
4.126,-3383.437,32,42.4,1536,4410,Li-ion
4.125,-3395.625,32,42.4,1538,4410,Li-ion
4.125,-3374.687,32,42.4,1544,4410,Li-ion
4.125,-3387.812,32,42.4,1544,4410,Li-ion
4.125,-3390.625,32,42.4,1546,4410,Li-ion
4.125,-3378.75,32,42.4,1546,4410,Li-ion
4.127,-3381.562,33,42.4,1572,4410,Li-ion
4.127,-3371.25,33,42.4,1572,4410,Li-ion
4.129,-3372.5,33,42.4,1580,4410,Li-ion
4.131,-3383.125,33,42.6,1592,4410,Li-ion
4.13,-3383.437,34,42.6,1608,4410,Li-ion
4.13,-3376.25,34,42.6,1608,4410,Li-ion
4.134,-3381.25,34,42.6,1624,4410,Li-ion
4.136,-3384.375,35,42.7,1650,4410,Li-ion
4.135,-2456.562,35,42.7,1650,4410,Li-ion
4.135,-2451.562,35,42.7,1650,4410,Li-ion
4.063,-2456.562,35,42,1668,4410,Li-ion
4.063,-2445,35,42,1688,4410,Li-ion
4.062,-2449.375,36,41.3,1690,4410,Li-ion
4.062,-2451.562,36,41.3,1710,4410,Li-ion
4.06,-2442.5,36,41.1,1712,4410,Li-ion
4.06,-2449.687,36,41.1,1714,4410,Li-ion
4.06,-2463.437,36,41.1,1716,4410,Li-ion
4.06,-2443.125,36,41.1,1716,4410,Li-ion
4.06,-2464.375,36,41.1,1716,4410,Li-ion
4.06,-2458.75,36,41.1,1718,4410,Li-ion
4.062,-2459.375,36,40.9,1732,4410,Li-ion
4.063,-2447.5,37,40.8,1752,4410,Li-ion
4.063,-2448.75,37,40.8,1752,4410,Li-ion
4.065,-2453.75,37,40.7,1756,4410,Li-ion
4.066,-2456.875,37,40.6,1772,4410,Li-ion
4.068,-2453.437,38,40.5,1792,4410,Li-ion
4.068,-2451.562,38,40.5,1794,4410,Li-ion
4.068,-2453.75,38,40.5,1798,4410,Li-ion
4.07,-2441.562,38,40.5,1814,4410,Li-ion
4.07,-2453.125,39,40.3,1834,4410,Li-ion
4.07,-2452.5,39,40.3,1834,4410,Li-ion
4.072,-2454.687,39,40.3,1842,4410,Li-ion
4.075,-2455.937,39,40.3,1854,4410,Li-ion
4.075,-2450.625,39,40.3,1858,4410,Li-ion
4.075,-2450.312,39,40.3,1860,4410,Li-ion
4.075,-2445.312,39,40.3,1860,4410,Li-ion
4.078,-2437.187,40,40.1,1880,4410,Li-ion
4.078,-2455.937,40,40.1,1880,4410,Li-ion
4.077,-2459.687,40,40.2,1886,4410,Li-ion
4.077,-2454.687,40,40.1,1894,4410,Li-ion
4.077,-2424.062,41,40,1916,4410,Li-ion
4.077,-2450,41,40,1916,4410,Li-ion
4.077,-2452.812,41,40,1922,4410,Li-ion
4.077,-2444.687,41,40,1924,4410,Li-ion
4.08,-2457.187,41,39.9,1928,4410,Li-ion
4.081,-2454.375,41,39.9,1936,4410,Li-ion
4.086,-2455.312,42,39.8,1956,4410,Li-ion
4.084,-3784.375,42,39.8,1958,4410,Li-ion
4.175,-3584.375,42,40.3,1972,4410,Li-ion
4.175,-3719.687,42,40.3,1974,4410,Li-ion
4.175,-3723.437,42,40.3,1974,4410,Li-ion
4.175,-3710.937,42,40.3,1976,4410,Li-ion
4.175,-3702.5,42,40.3,1978,4410,Li-ion
4.175,-3675.625,42,40.3,1978,4410,Li-ion
4.175,-3677.187,42,40.3,1980,4410,Li-ion
4.175,-3684.687,42,40.3,1980,4410,Li-ion
4.175,-3676.875,42,40.3,1982,4410,Li-ion
4.175,-3652.187,42,40.3,1984,4410,Li-ion
4.175,-3662.187,42,40.3,1984,4410,Li-ion
4.175,-3648.437,42,40.3,1986,4410,Li-ion
4.175,-3654.062,42,40.3,1986,4410,Li-ion
4.185,-3642.187,42,41.1,1988,4410,Li-ion
4.185,-3620.625,42,41.1,1988,4410,Li-ion
4.185,-3632.5,42,41.1,1990,4410,Li-ion
4.185,-3615.625,42,41.1,1990,4410,Li-ion
4.185,-3604.062,42,41.1,1992,4410,Li-ion
4.185,-3611.875,42,41.1,1992,4410,Li-ion
4.185,-3596.25,42,41.1,1994,4410,Li-ion
4.185,-3601.25,42,41.1,1996,4410,Li-ion
4.185,-3598.125,42,41.1,1996,4410,Li-ion
4.185,-3596.25,42,41.1,1998,4410,Li-ion
4.185,-3594.062,42,41.1,1998,4410,Li-ion
4.185,-3581.25,42,41.1,2000,4410,Li-ion
4.185,-3587.5,42,41.1,2000,4410,Li-ion
4.185,-3582.187,42,41.1,2002,4410,Li-ion
4.185,-3568.437,42,41.1,2002,4410,Li-ion
4.185,-3577.187,42,41.1,2004,4410,Li-ion
4.183,-3572.187,43,41.6,2004,4410,Li-ion
4.183,-3568.75,43,41.6,2006,4410,Li-ion
4.183,-3570.312,43,41.6,2006,4410,Li-ion
4.183,-3570.937,43,41.6,2008,4410,Li-ion
4.183,-3571.562,43,41.6,2010,4410,Li-ion
4.183,-3557.812,43,41.6,2010,4410,Li-ion
4.183,-3543.125,43,41.6,2012,4410,Li-ion
4.183,-3558.437,43,41.6,2012,4410,Li-ion
4.183,-3546.875,43,41.6,2014,4410,Li-ion
4.183,-3544.687,43,41.6,2014,4410,Li-ion
4.183,-3555,43,41.6,2016,4410,Li-ion
4.183,-3530.937,43,41.7,2016,4410,Li-ion
4.183,-3537.5,43,41.7,2018,4410,Li-ion
4.183,-3527.812,43,41.7,2018,4410,Li-ion
4.183,-3526.562,43,41.7,2020,4410,Li-ion
4.183,-3531.562,43,41.7,2020,4410,Li-ion
4.183,-3530,43,41.7,2022,4410,Li-ion
4.183,-3523.75,43,41.7,2022,4410,Li-ion
4.183,-3522.812,43,41.7,2024,4410,Li-ion
4.183,-3537.812,43,41.7,2024,4410,Li-ion
4.183,-3515.937,43,41.7,2026,4410,Li-ion
4.183,-3520.625,43,41.7,2026,4410,Li-ion
4.183,-3510.625,43,41.7,2028,4410,Li-ion
4.183,-3521.562,43,41.7,2028,4410,Li-ion
4.183,-3519.375,43,41.7,2030,4410,Li-ion
4.183,-3510.937,43,41.7,2030,4410,Li-ion
4.183,-3514.062,43,41.7,2032,4410,Li-ion
4.183,-3510.312,43,41.7,2032,4410,Li-ion
4.183,-3506.25,43,41.7,2034,4410,Li-ion
4.183,-3504.375,43,41.7,2034,4410,Li-ion
4.183,-3498.125,43,41.7,2036,4410,Li-ion
4.183,-3509.062,43,41.7,2036,4410,Li-ion
4.183,-3499.375,43,41.7,2038,4410,Li-ion
4.183,-3477.5,43,41.7,2038,4410,Li-ion
4.183,-3491.875,43,41.7,2040,4410,Li-ion
4.183,-3481.875,43,41.7,2040,4410,Li-ion
4.183,-3490,43,41.7,2042,4410,Li-ion
4.183,-3490,43,41.7,2042,4410,Li-ion
4.183,-3468.437,43,41.7,2044,4410,Li-ion
4.183,-3474.375,43,41.7,2044,4410,Li-ion
4.186,-3495.937,44,41.9,2046,4410,Li-ion
4.186,-3482.812,44,41.9,2046,4410,Li-ion
4.186,-3475.937,44,41.9,2048,4410,Li-ion
4.186,-3490,44,41.9,2048,4410,Li-ion
4.186,-3468.75,44,41.9,2050,4410,Li-ion
4.186,-3462.5,44,41.9,2050,4410,Li-ion
4.186,-3457.812,44,41.9,2052,4410,Li-ion
4.186,-3457.5,44,41.9,2052,4410,Li-ion
4.186,-3380.312,44,41.9,2054,4410,Li-ion
4.186,-3385.937,44,41.9,2054,4410,Li-ion
4.186,-3382.187,44,41.9,2056,4410,Li-ion
4.186,-3381.875,44,41.9,2056,4410,Li-ion
4.186,-3375.312,44,41.9,2058,4410,Li-ion
4.186,-3370,44,41.9,2058,4410,Li-ion
4.18,-3367.812,44,42,2060,4410,Li-ion
4.18,-3384.687,44,42,2060,4410,Li-ion
4.18,-3387.187,44,42,2062,4410,Li-ion
4.18,-3387.187,44,42,2062,4410,Li-ion
4.18,-3391.562,44,42,2064,4410,Li-ion
4.18,-3373.75,44,42,2064,4410,Li-ion
4.18,-3385.312,44,42,2066,4410,Li-ion
4.18,-3378.75,44,42,2066,4410,Li-ion
4.18,-3378.75,44,42,2068,4410,Li-ion
4.18,-3384.687,44,42,2068,4410,Li-ion
4.18,-3378.75,44,42,2070,4410,Li-ion
4.18,-3383.75,44,42,2070,4410,Li-ion
4.18,-3394.375,44,42,2072,4410,Li-ion
4.18,-3391.562,44,42,2072,4410,Li-ion
4.182,-3377.187,45,42,2082,4410,Li-ion
4.182,-3368.125,45,42,2082,4410,Li-ion
4.182,-3373.75,45,42,2088,4410,Li-ion
4.182,-3381.562,45,42,2094,4410,Li-ion
4.182,-3386.562,45,42,2100,4410,Li-ion
4.182,-3379.062,45,42,2100,4410,Li-ion
4.182,-3369.375,45,42,2102,4410,Li-ion
4.185,-3365.937,45,42.1,2104,4410,Li-ion
4.185,-3351.562,45,42.1,2106,4410,Li-ion
4.185,-3351.25,45,42.1,2112,4410,Li-ion
4.185,-3369.062,45,42.1,2118,4410,Li-ion
4.185,-3369.062,45,42.1,2118,4410,Li-ion
4.185,-3354.062,45,42.1,2120,4410,Li-ion
4.185,-3360.312,45,42.1,2120,4410,Li-ion
4.185,-3350.625,45,42.1,2122,4410,Li-ion
4.185,-3336.875,45,42.1,2122,4410,Li-ion
4.185,-3352.5,45,42.1,2124,4410,Li-ion
4.185,-3343.75,45,42.1,2126,4410,Li-ion
4.185,-3353.75,45,42.1,2126,4410,Li-ion
4.185,-3345.625,45,42.1,2128,4410,Li-ion
4.185,-3334.687,45,42.1,2128,4410,Li-ion
4.185,-3341.25,45,42.1,2130,4410,Li-ion
4.185,-3348.437,45,42.1,2130,4410,Li-ion
4.185,-3350.625,45,42.1,2132,4410,Li-ion
4.185,-3337.812,45,42.1,2132,4410,Li-ion
4.185,-3337.187,45,42.1,2134,4410,Li-ion
4.185,-3351.875,45,42.1,2134,4410,Li-ion
4.185,-3327.187,45,42.1,2136,4410,Li-ion
4.185,-3337.187,45,42.1,2136,4410,Li-ion
4.185,-3315.312,45,42.1,2138,4410,Li-ion
4.185,-3333.75,45,42.1,2138,4410,Li-ion
4.185,-3329.062,45,42.1,2140,4410,Li-ion
4.185,-3317.187,45,42.1,2140,4410,Li-ion
4.185,-3316.875,45,42.1,2142,4410,Li-ion
4.185,-3339.375,45,42.1,2142,4410,Li-ion
4.185,-3330.312,45,42.1,2144,4410,Li-ion
4.185,-3328.125,45,42.1,2144,4410,Li-ion
4.185,-3312.187,45,42.1,2146,4410,Li-ion
4.185,-3315.625,45,42.1,2146,4410,Li-ion
4.185,-3313.437,46,42.2,2146,4410,Li-ion
4.185,-3306.875,46,42.2,2148,4410,Li-ion
4.185,-3303.437,46,42.2,2148,4410,Li-ion
4.185,-3309.687,46,42.2,2150,4410,Li-ion
4.185,-3317.187,46,42.2,2152,4410,Li-ion
4.185,-3303.125,46,42.2,2152,4410,Li-ion
4.185,-3303.125,46,42.2,2154,4410,Li-ion
4.185,-3301.25,46,42.2,2154,4410,Li-ion
4.185,-3307.5,46,42.2,2154,4410,Li-ion
4.185,-3294.375,46,42.2,2156,4410,Li-ion
4.185,-3292.5,46,42.2,2156,4410,Li-ion
4.185,-3296.875,46,42.2,2158,4410,Li-ion
4.184,-2454.687,46,42.3,2158,4410,Li-ion
4.184,-2449.687,46,42.3,2160,4410,Li-ion
4.184,-2458.75,46,42.3,2160,4410,Li-ion
4.184,-2455.625,46,42.3,2160,4410,Li-ion
4.184,-2461.562,46,42.3,2162,4410,Li-ion
4.184,-2454.375,46,42.3,2162,4410,Li-ion
4.184,-2453.125,46,42.3,2162,4410,Li-ion
4.184,-2458.75,46,42.3,2164,4410,Li-ion
4.184,-2441.25,46,42.3,2164,4410,Li-ion
4.184,-2448.437,46,42.3,2166,4410,Li-ion
4.184,-2446.875,46,42.3,2166,4410,Li-ion
4.184,-2452.812,46,42.3,2166,4410,Li-ion
4.184,-2446.562,46,42.3,2168,4410,Li-ion
4.184,-2453.437,46,42.3,2168,4410,Li-ion
4.184,-2453.125,46,42.3,2168,4410,Li-ion
4.184,-2453.125,46,42.3,2170,4410,Li-ion
4.184,-2459.687,46,42.3,2170,4410,Li-ion
4.122,-2449.375,47,42,2170,4410,Li-ion
4.122,-2460.937,47,42,2172,4410,Li-ion
4.122,-2461.875,47,42,2172,4410,Li-ion
4.122,-2462.187,47,42,2172,4410,Li-ion
4.122,-2458.75,47,42,2188,4410,Li-ion
4.122,-2445.312,47,42,2190,4410,Li-ion
4.118,-2491.562,47,41.2,2190,4410,Li-ion
4.118,-2453.75,47,41.2,2192,4410,Li-ion
4.118,-2450.312,47,41.2,2192,4410,Li-ion
4.118,-2454.687,47,41.2,2194,4410,Li-ion
4.121,-2465,47,41.1,2200,4410,Li-ion
4.122,-2452.5,48,41.1,2220,4410,Li-ion
4.122,-2459.375,48,41.1,2220,4410,Li-ion
4.122,-2449.062,48,41,2234,4410,Li-ion
4.123,-2456.875,48,41,2240,4410,Li-ion
4.124,-2452.5,49,41,2260,4410,Li-ion
4.124,-2439.062,49,41,2262,4410,Li-ion
4.124,-2458.437,49,41,2276,4410,Li-ion
4.124,-2440.937,49,41,2276,4410,Li-ion
4.127,-2442.812,49,40.9,2276,4410,Li-ion
4.128,-2447.812,49,40.8,2280,4410,Li-ion
4.128,-2455,49,40.8,2298,4410,Li-ion
4.128,-2448.437,49,40.8,2298,4410,Li-ion
4.128,-2457.812,49,40.8,2300,4410,Li-ion
4.128,-2449.062,49,40.8,2300,4410,Li-ion
4.128,-2457.812,49,40.8,2300,4410,Li-ion
4.128,-2457.5,49,40.8,2302,4410,Li-ion
4.128,-2424.062,49,40.8,2302,4410,Li-ion
4.128,-2443.75,49,40.8,2302,4410,Li-ion
4.13,-2447.187,50,40.8,2306,4410,Li-ion
4.13,-2470,50,40.8,2308,4410,Li-ion
4.13,-2452.812,50,40.8,2308,4410,Li-ion
4.13,-2495,50,40.8,2308,4410,Li-ion
4.13,-2446.562,50,40.8,2310,4410,Li-ion
4.13,-2455.937,50,40.8,2310,4410,Li-ion
4.13,-2455.937,50,40.8,2312,4410,Li-ion
4.13,-2451.875,50,40.8,2312,4410,Li-ion
4.13,-2467.5,50,40.8,2312,4410,Li-ion
4.13,-2451.562,50,40.8,2314,4410,Li-ion
4.13,-2452.5,50,40.8,2314,4410,Li-ion
4.13,-2457.5,50,40.8,2314,4410,Li-ion
4.132,-2447.5,50,40.6,2320,4410,Li-ion
4.132,-2453.437,50,40.6,2320,4410,Li-ion
4.132,-2448.125,50,40.6,2322,4410,Li-ion
4.132,-2450.312,50,40.5,2322,4410,Li-ion
4.137,-2443.75,51,40.3,2346,4410,Li-ion
4.137,-2457.187,51,40.3,2346,4410,Li-ion
4.137,-2451.875,51,40.3,2346,4410,Li-ion
4.137,-2446.25,51,40.3,2348,4410,Li-ion
4.137,-2457.187,51,40.3,2358,4410,Li-ion
4.138,-2459.062,51,40.1,2362,4410,Li-ion
4.139,-2462.187,51,40.1,2384,4410,Li-ion
4.146,-2438.437,52,39.7,2404,4410,Li-ion
4.146,-2445,52,39.7,2404,4410,Li-ion
4.146,-2459.687,52,39.7,2406,4410,Li-ion
4.146,-2444.375,52,39.8,2406,4410,Li-ion
4.146,-2460.312,52,39.8,2424,4410,Li-ion
4.152,-2454.687,53,39.6,2438,4410,Li-ion
4.153,-2425.937,53,39.5,2444,4410,Li-ion
4.153,-2448.437,53,39.5,2446,4410,Li-ion
4.155,-2455.625,53,39.6,2450,4410,Li-ion
4.154,-2883.437,53,39.6,2458,4410,Li-ion
4.154,-2886.25,53,39.6,2458,4410,Li-ion
4.154,-2875.937,53,39.6,2460,4410,Li-ion
4.186,-2877.812,53,39.6,2460,4410,Li-ion
4.186,-2987.5,53,39.6,2462,4410,Li-ion
4.203,-2988.437,54,40.1,2486,4410,Li-ion
4.203,-2973.125,54,40.1,2486,4410,Li-ion
4.206,-2979.375,54,40.2,2492,4410,Li-ion
4.205,-2983.125,54,40.2,2494,4410,Li-ion
4.21,-3001.25,55,40.3,2518,4410,Li-ion
4.213,-2985,55,40.3,2538,4410,Li-ion
4.215,-2983.437,55,40.3,2542,4410,Li-ion
4.22,-2984.687,56,40.5,2568,4410,Li-ion
4.22,-2985.937,56,40.5,2568,4410,Li-ion
4.222,-2970.625,56,40.5,2580,4410,Li-ion
4.226,-2994.375,56,40.5,2592,4410,Li-ion
4.23,-2993.125,57,40.6,2618,4410,Li-ion
4.23,-2981.875,57,40.6,2618,4410,Li-ion
4.23,-2976.562,57,40.6,2624,4410,Li-ion
4.235,-2995.937,57,40.6,2642,4410,Li-ion
4.238,-2976.875,58,40.6,2668,4410,Li-ion
4.239,-2991.875,58,40.6,2668,4410,Li-ion
4.239,-2985.625,58,40.6,2672,4410,Li-ion
4.239,-2996.25,58,40.6,2674,4410,Li-ion
4.239,-2980.937,58,40.6,2674,4410,Li-ion
4.243,-2982.812,59,40.7,2692,4410,Li-ion
4.247,-2975.937,59,40.7,2710,4410,Li-ion
4.247,-2989.062,59,40.7,2712,4410,Li-ion
4.252,-2979.062,60,40.8,2736,4410,Li-ion
4.252,-2996.562,60,40.8,2736,4410,Li-ion
4.254,-2984.375,60,40.7,2742,4410,Li-ion
4.256,-2974.375,60,40.8,2754,4410,Li-ion
4.26,-2985.625,61,40.8,2778,4410,Li-ion
4.26,-2980,61,40.8,2780,4410,Li-ion
4.263,-2991.562,61,40.8,2792,4410,Li-ion
4.263,-2984.687,61,40.9,2798,4410,Li-ion
4.269,-2995,62,41,2822,4410,Li-ion
4.269,-3004.687,62,41,2822,4410,Li-ion
4.272,-2983.125,62,40.9,2840,4410,Li-ion
4.277,-2986.25,63,41,2866,4410,Li-ion
4.277,-2974.062,63,41,2866,4410,Li-ion
4.277,-2982.812,63,41,2868,4410,Li-ion
4.283,-2985,63,41,2884,4410,Li-ion
4.283,-2993.75,63,41,2890,4410,Li-ion
4.286,-2953.125,64,41,2914,4410,Li-ion
4.286,-2942.5,64,41,2916,4410,Li-ion
4.286,-2953.75,64,41,2916,4410,Li-ion
